date_insert,central_govt_scheme,state_govt_scheme,scheme_e,scheme_c,scheme_g,scheme_t_ii_e,scheme_t_ii_c,scheme_t_ii_g,nps_lite,corporate_cg
1-Jan-10,12.5618,10.4199,10.5564,10.7497,10.7716,10,10,10,NA,NA
2-Jan-10,12.5632,10.4218,10.5564,10.752,10.7735,10,10,10,NA,NA
3-Jan-10,12.244,10.4238,10.5564,10.7543,10.7754,10,10,10,NA,NA
4-Jan-10,12.5685,10.4348,10.5971,10.7562,10.781,10,10,10,NA,NA
5-Jan-10,12.5713,10.4375,10.6232,10.7577,10.7764,10,10,10,NA,NA
6-Jan-10,12.5718,10.4381,10.6493,10.7624,10.7637,10,10,10,NA,NA
7-Jan-10,12.5627,10.4275,10.6361,10.7668,10.7667,10,10,10.1526,NA,NA
8-Jan-10,12.5687,10.4371,10.6164,10.7689,10.7772,10,10,10.1634,NA,NA
9-Jan-10,12.5711,10.4394,10.6128,10.771,10.7798,10,10,10.1646,NA,NA
10-Jan-10,12.5734,10.4413,10.6128,10.7732,10.7819,10,10,10.1659,NA,NA
11-Jan-10,12.5775,10.4473,10.632,10.7737,10.8159,10,10,10.1686,NA,NA
12-Jan-10,12.575,10.4633,10.5842,10.7757,10.7942,10,10,10.1656,NA,NA
13-Jan-10,12.5837,10.4756,10.6158,10.7675,10.8108,10,10,10.1663,NA,NA
14-Jan-10,12.6039,10.5065,10.6233,10.7661,10.8646,10,10,10.1707,NA,NA
15-Jan-10,12.5999,10.5113,10.6433,10.8026,10.8418,10,10,10.1693,NA,NA
16-Jan-10,12.6024,10.5134,10.642,10.805,10.844,10,10,10.1694,NA,NA
17-Jan-10,12.6049,10.5155,10.642,10.8075,10.8463,10,10,10.1696,NA,NA
18-Jan-10,12.613,10.5266,10.6279,10.8106,10.8632,10,10,10.3762,NA,NA
19-Jan-10,12.6063,10.5132,10.6254,10.8147,10.8513,10.0072,10,10.3668,NA,NA
20-Jan-10,12.6101,10.5164,10.6081,10.817,10.8606,10.011,10,10.3517,NA,NA
21-Jan-10,12.617,10.508,10.5327,10.8257,10.8959,9.9223,10,10.379,NA,NA
22-Jan-10,12.617,10.5114,10.4107,10.8361,10.8966,9.7819,10,10.3729,NA,NA
23-Jan-10,12.6196,10.5137,10.4006,10.8384,10.8988,9.7819,10,10.3747,NA,NA
24-Jan-10,12.6221,10.5159,10.4006,10.8408,10.9009,9.7819,10,10.3765,NA,NA
25-Jan-10,12.6164,10.5118,10.2633,10.845,10.8913,9.6302,10,10.3701,NA,NA
26-Jan-10,12.619,10.514,10.2568,10.8474,10.8934,9.6302,10,10.3719,NA,NA
27-Jan-10,12.6163,10.5056,10.0675,10.8505,10.9067,9.4415,10,10.3788,NA,NA
28-Jan-10,12.6252,10.5058,10.0802,10.8678,10.9089,9.4984,10,10.382,NA,NA
29-Jan-10,12.6241,10.5003,10.1904,10.8686,10.8882,9.6278,10,10.3602,NA,NA
30-Jan-10,12.6254,10.5012,10.1954,10.871,10.8882,9.6278,10,10.36,NA,NA
31-Jan-10,12.628,10.5034,10.1954,10.8735,10.8902,9.6278,10,10.3619,NA,NA
1-Feb-10,12.6207,10.4986,10.115,10.8774,10.87,9.5299,10,10.3426,NA,NA
2-Feb-10,12.5798,10.456,10.0421,10.8508,10.8409,9.4406,10,10.3198,NA,NA
3-Feb-10,12.6027,10.4748,10.145,10.8478,10.8458,9.5679,10,10.3286,NA,NA
4-Feb-10,12.587,10.4606,10.0818,10.8463,10.8405,9.4666,10,10.3305,NA,NA
5-Feb-10,12.5845,10.4546,9.8463,10.8472,10.8558,9.2381,10,10.3403,NA,NA
6-Feb-10,12.5918,10.4608,9.9901,10.8497,10.8578,9.4428,10,10.342,NA,NA
7-Feb-10,12.5944,10.463,9.9901,10.8522,10.8598,9.4428,10,10.3436,NA,NA
8-Feb-10,12.5941,10.4595,9.8406,10.854,10.8524,9.2771,10,10.3367,NA,NA
9-Feb-10,12.6002,10.4713,9.9514,10.8563,10.848,9.3801,10,10.3329,NA,NA
10-Feb-10,12.5751,10.4471,9.8438,10.8572,10.8137,9.2498,10.0283,10.2818,NA,NA
11-Feb-10,12.5586,10.4336,9.9699,10.8472,10.7844,9.3989,10.0197,10.2642,NA,NA
12-Feb-10,12.5612,10.4358,9.993,10.8497,10.7864,9.3989,10.0207,10.2658,NA,NA
13-Feb-10,12.5638,10.438,9.993,10.8521,10.7885,9.3989,10.0217,10.2675,NA,NA
14-Feb-10,12.5664,10.4402,9.993,10.8546,10.7905,9.3989,10.0227,10.2691,NA,NA
15-Feb-10,12.548,10.4231,9.984,10.8417,10.7775,9.3892,10.0185,10.2589,NA,NA
16-Feb-10,12.5543,10.4314,10.0389,10.8282,10.7812,9.4295,10.0136,10.2595,NA,NA
17-Feb-10,12.5556,10.435,10.1131,10.8143,10.781,9.4636,10.0106,10.26,NA,NA
18-Feb-10,12.557,10.4363,10.1083,10.8123,10.7886,9.4496,10.0089,10.2637,NA,NA
19-Feb-10,12.5422,10.4252,10.0488,10.8101,10.7821,9.4201,10.0032,10.2566,NA,NA
20-Feb-10,12.5448,10.4273,10.0315,10.8123,10.7839,9.3924,10.0042,10.2577,NA,NA
22-Feb-10,12.5638,10.4453,10.0403,10.8359,10.8253,9.4044,10.0132,10.2807,NA,NA
23-Feb-10,12.5773,10.4619,10.0403,10.8359,10.8253,9.4044,10.0132,10.2807,NA,NA
24-Feb-10,12.5751,10.461,10.0527,10.8489,10.8465,9.4201,10.0207,10.2917,NA,NA
25-Feb-10,12.5771,10.473,10.0246,10.8625,10.838,9.3971,10.0225,10.2862,NA,NA
26-Feb-10,12.5775,10.4706,10.1408,10.8571,10.8233,9.4588,10.0192,10.2781,NA,NA
1-Mar-10,12.5879,10.4792,10.1788,10.8641,10.833,9.5196,10.021,10.2837,NA,NA
2-Mar-10,12.5841,10.4793,10.3041,10.8423,10.8102,9.5851,10.0134,10.2844,NA,NA
3-Mar-10,10.5981,10.4877,10.4521,10.8451,10.8135,9.7239,10.0157,10.2851,NA,NA
4-Mar-10,12.6049,10.493,10.4826,10.8516,10.8155,9.7858,10.02,10.2862,NA,NA
5-Mar-10,12.6019,10.4888,10.4888,10.8537,10.8194,9.7838,10.0209,10.322,NA,NA
6-Mar-10,12.6044,10.4908,10.4937,10.856,10.8214,9.7912,10.0217,10.323,NA,NA
7-Mar-10,12.607,10.4929,10.4937,10.8583,10.8233,9.7912,10.0221,10.3241,NA,NA
8-Mar-10,12.6148,10.4998,10.531,10.8651,10.8178,9.8111,10.0226,10.3244,NA,NA
9-Mar-10,12.6262,10.5182,10.5281,10.8692,10.8645,9.8293,10.0252,10.3579,NA,NA
10-Mar-10,12.6316,10.5248,10.5526,10.8603,10.8665,9.8296,10.0264,10.3552,NA,NA
11-Mar-10,12.6331,10.5223,10.5735,10.8627,10.8615,9.8478,10.0276,10.35,NA,NA
12-Mar-10,12.6297,10.5099,10.5907,10.8693,10.8562,9.8654,10.0315,10.3596,NA,NA
15-Mar-10,12.64,10.5158,10.5884,10.8762,10.875,9.8662,10.0293,10.381,NA,NA
17-Mar-10,12.6738,10.5609,10.7323,10.8851,10.9157,9.9622,10.0324,10.416,NA,NA
18-Mar-10,12.697,10.5766,10.7502,10.896,10.9463,9.9865,10.0344,10.4454,NA,NA
19-Mar-10,12.7243,10.6023,10.81,10.927,10.9784,10.0209,10.1518,10.4689,NA,NA
20-Mar-10,12.727,10.6044,10.8197,10.9295,10.9807,10.0331,10.152,10.4709,NA,NA
22-Mar-10,12.6923,10.5856,10.7599,10.9134,10.9724,10.0049,10.1271,10.4636,NA,NA
23-Mar-10,12.6926,10.58,10.729,10.9195,10.9647,9.9654,10.131,10.4572,NA,NA
25-Mar-10,12.6993,10.5906,10.781,10.9234,10.9673,9.9985,10.1354,10.4572,NA,NA
26-Mar-10,12.7175,10.6043,10.8273,10.932,10.9879,10.0353,10.1454,10.4789,NA,NA
29-Mar-10,12.771,10.6479,10.843,10.9418,11.0557,10.0517,10.1536,10.5744,NA,NA
30-Mar-10,12.7756,10.638,10.825,10.9694,11.033,10.0519,10.1887,10.5854,NA,NA
31-Mar-10,12.779,10.6339,10.7951,10.9944,11.0023,10.0195,10.2206,10.5649,NA,NA
1-Apr-10,12.7857,10.641,10.8304,10.9969,11.0047,10.0306,10.2208,10.5669,NA,NA
3-Apr-10,12.7912,10.6455,10.8304,11.0018,11.0096,10.0306,10.2213,10.571,NA,NA
5-Apr-10,12.8216,10.669,10.9331,11.012,11.0401,10.1195,10.238,10.5985,NA,NA
6-Apr-10,12.8236,10.6837,10.9918,11.0161,11.0492,10.1957,10.2412,10.5898,NA,NA
7-Apr-10,12.8366,10.7025,11.0152,11.0206,11.0656,10.2054,10.2447,10.6005,NA,NA
8-Apr-10,12.8088,10.6745,10.9469,11.0253,11.0248,10.1774,10.2479,10.571,NA,NA
9-Apr-10,12.7769,10.6538,10.9301,11.0175,10.9546,10.1338,10.2387,10.5218,NA,NA
12-Apr-10,12.7618,10.6357,10.9546,11.0036,10.9464,10.1944,10.2206,10.5196,NA,NA
13-Apr-10,12.7506,10.6532,10.908,11.0058,10.9268,10.1566,10.2221,10.5348,NA,NA
15-Apr-10,12.7342,10.6202,10.8661,11.0088,10.9027,10.1279,10.2245,10.543,NA,NA
16-Apr-10,12.7293,10.615,10.805,11.0118,10.9004,10.0505,10.2271,10.5387,NA,NA
19-Apr-10,12.7228,10.6106,10.7446,11.0208,10.893,10.0134,10.2406,10.5309,NA,NA
20-Apr-10,12.7851,10.6452,10.6992,11.0497,10.9603,9.9303,10.2751,10.5883,NA,NA
21-Apr-10,12.7945,10.6453,10.7449,11.0723,10.9486,9.9769,10.3037,10.5762,NA,NA
22-Apr-10,12.8308,10.6605,10.7708,11.1021,10.973,10.0035,10.3387,10.5911,NA,NA
23-Apr-10,12.8245,10.6518,10.8413,11.1089,10.9339,10.0586,10.3429,10.5533,NA,NA
26-Apr-10,12.8286,10.6574,10.8896,11.1154,10.9349,10.1118,10.3494,10.5529,NA,NA
27-Apr-10,12.8328,10.6583,10.8934,11.1177,10.9321,10.1299,10.3515,10.5494,NA,NA
28-Apr-10,12.8296,10.6666,10.7882,11.1338,10.9462,10.0706,10.3637,10.5662,NA,NA
29-Apr-10,12.8392,10.695,10.7131,11.2011,10.9613,9.9533,10.4216,10.5763,NA,NA
30-Apr-10,12.8713,10.7266,10.7728,11.2021,11.022,10.0176,10.4222,10.619,NA,NA
3-May-10,12.867,10.725,10.7675,11.2093,11.0283,10.0383,10.4292,10.6241,NA,NA
4-May-10,12.8738,10.7311,10.6549,11.2134,11.0691,9.9364,10.4333,10.6604,NA,NA
5-May-10,12.8863,10.755,10.5639,11.2405,11.074,9.8227,10.4587,10.6621,NA,NA
6-May-10,12.8861,10.7621,10.5139,11.2289,11.0886,9.7776,10.443,10.6801,NA,NA
7-May-10,12.8848,10.7493,10.4058,11.2393,11.091,9.6967,10.456,10.6755,NA,NA
8-May-10,12.8875,10.7514,10.3235,11.2417,11.0935,9.588,10.4566,10.6777,NA,NA
9-May-10,12.8902,10.7532,10.3235,11.2441,11.0959,9.588,10.4571,10.68,NA,NA
10-May-10,12.9025,10.7785,10.4621,11.244,11.0698,9.6477,10.4568,10.6596,NA,NA
11-May-10,12.918,10.7831,10.6237,11.2525,11.1161,9.8915,10.47,10.6997,NA,NA
12-May-10,12.9362,10.7888,10.5548,11.2617,11.1304,9.8043,10.4775,10.7134,NA,NA
13-May-10,12.9564,10.8051,10.6158,11.2641,11.1515,9.8497,10.4799,10.7351,NA,NA
14-May-10,12.9873,10.8748,10.5656,11.2766,11.2632,9.8433,10.4935,10.8614,NA,NA
17-May-10,13.023,10.943,10.4772,11.3374,11.2945,9.727,10.5256,10.8875,NA,NA
18-May-10,13.0201,10.9415,10.4236,11.3386,11.2877,9.6753,10.527,10.8751,NA,NA
19-May-10,13.0328,10.9409,10.3213,11.3652,11.3404,9.6205,10.5553,10.9178,NA,NA
20-May-10,13.0525,10.9567,10.1986,11.344,11.3579,9.4524,10.532,10.9335,NA,NA
21-May-10,13.0593,10.9619,10.2046,11.3646,11.3601,9.4735,10.5575,10.9354,NA,NA
24-May-10,13.0654,10.9666,10.1992,11.3725,11.3542,9.4601,10.5632,10.9257,NA,NA
25-May-10,13.0479,10.9576,10.0787,11.3796,11.3561,9.3934,10.5701,10.938,NA,NA
26-May-10,13.014,10.9251,10.0095,11.3524,11.3138,9.2714,10.5398,10.8979,NA,NA
28-May-10,13.0342,10.949,10.3276,11.3473,11.3025,9.5746,10.5341,10.8887,NA,NA
31-May-10,13.049,10.9593,10.423,11.3633,11.2964,9.666,10.5482,10.8831,NA,NA
1-Jun-10,13.0386,10.9497,10.3758,11.3641,11.3255,9.6515,10.5496,10.9104,NA,NA
2-Jun-10,13.0629,10.9727,10.273,11.3691,11.3361,9.529,10.5522,10.9179,NA,NA
3-Jun-10,13.0599,10.9724,10.33,11.3702,11.3242,9.6457,10.5526,10.8841,NA,NA
4-Jun-10,13.0804,11.023,10.4288,11.5462,11.3337,9.7781,10.5506,10.9055,NA,NA
7-Jun-10,13.0758,11.0121,10.4085,11.5517,11.342,9.7394,10.5605,10.9286,NA,NA
8-Jun-10,13.0701,11.0034,10.3022,11.5537,11.3489,9.5984,10.5621,10.938,NA,NA
9-Jun-10,13.0679,11.0091,10.2746,11.5145,11.373,9.5631,10.5598,10.9208,NA,NA
10-Jun-10,13.0746,11.0194,10.3454,11.5476,11.3662,9.6448,10.5527,10.907,NA,NA
11-Jun-10,13.0545,11.0065,10.4212,11.5475,11.3632,9.736,10.5502,10.8878,NA,NA
14-Jun-10,13.0622,11.0081,10.5102,11.5471,11.3434,9.8375,10.5393,10.8586,NA,NA
15-Jun-10,13.0753,11.0226,10.6004,11.5492,11.3525,9.9313,10.5407,10.8722,NA,NA
16-Jun-10,13.092,11.044,10.6194,11.553,11.3685,9.9531,10.5457,10.8972,NA,NA
17-Jun-10,13.0975,11.0477,10.6561,11.5715,11.3591,9.9872,10.5596,10.8804,NA,NA
18-Jun-10,13.1223,11.0655,10.6866,11.5738,11.3822,10.0192,10.561,11.0034,NA,NA
21-Jun-10,13.1657,11.1148,10.7279,11.5854,11.4205,10.0512,10.5688,11.0271,NA,NA
22-Jun-10,13.1619,11.1059,10.8056,11.5906,11.4207,10.1254,10.5704,11.0263,NA,NA
23-Jun-10,13.1603,11.1049,10.774,11.5929,11.4137,10.0956,10.5718,11.0127,NA,NA
24-Jun-10,13.1654,11.1099,10.7622,11.5952,11.4239,10.0877,10.5732,11.0317,NA,NA
25-Jun-10,13.1476,11.0884,10.7633,11.5891,11.4011,10.0881,10.5597,10.9936,NA,NA
28-Jun-10,13.1872,11.1281,10.7225,11.5973,11.4234,10.0507,10.5651,11.0266,NA,NA
29-Jun-10,13.1928,11.1248,10.7627,11.6042,11.4398,10.0897,10.5729,11.0446,NA,NA
30-Jun-10,13.2169,11.1492,10.7186,11.6313,11.449,10.0464,10.651,11.0584,NA,NA
1-Jul-10,13.2063,11.1384,10.7422,11.6341,11.4576,10.0719,10.6536,11.0711,NA,NA
2-Jul-10,13.2018,11.1281,10.6692,11.6418,11.4454,10.0104,10.6624,11.051,NA,NA
6-Jul-10,13.2082,11.1329,10.6983,11.6423,11.4427,10.0287,10.6545,11.0419,NA,NA
